onset	duration	trial_type	response_time	sample	value
8031.00	4000.00	hand	n/a	8031.00	1.00
16081.00	4000.00	hand	n/a	16081.00	1.00
24131.00	4000.00	elbow	n/a	24131.00	2.00
32181.00	4000.00	hand	n/a	32181.00	1.00
40231.00	4000.00	elbow	n/a	40231.00	2.00
48281.00	4000.00	elbow	n/a	48281.00	2.00
56347.00	4000.00	elbow	n/a	56347.00	2.00
64397.00	4000.00	hand	n/a	64397.00	1.00
72447.00	4000.00	hand	n/a	72447.00	1.00
80514.00	4000.00	hand	n/a	80514.00	1.00
88564.00	4000.00	hand	n/a	88564.00	1.00
96613.00	4000.00	hand	n/a	96613.00	1.00
104680.00	4000.00	hand	n/a	104680.00	1.00
112730.00	4000.00	elbow	n/a	112730.00	2.00
120780.00	4000.00	hand	n/a	120780.00	1.00
128846.00	4000.00	elbow	n/a	128846.00	2.00
136896.00	4000.00	hand	n/a	136896.00	1.00
144946.00	4000.00	hand	n/a	144946.00	1.00
153013.00	4000.00	hand	n/a	153013.00	1.00
161063.00	4000.00	elbow	n/a	161063.00	2.00
169113.00	4000.00	elbow	n/a	169113.00	2.00
177179.00	4000.00	hand	n/a	177179.00	1.00
185229.00	4000.00	hand	n/a	185229.00	1.00
193279.00	4000.00	hand	n/a	193279.00	1.00
201346.00	4000.00	elbow	n/a	201346.00	2.00
209395.00	4000.00	elbow	n/a	209395.00	2.00
217445.00	4000.00	elbow	n/a	217445.00	2.00
225512.00	4000.00	elbow	n/a	225512.00	2.00
233562.00	4000.00	elbow	n/a	233562.00	2.00
241612.00	4000.00	hand	n/a	241612.00	1.00
249678.00	4000.00	elbow	n/a	249678.00	2.00
257728.00	4000.00	hand	n/a	257728.00	1.00
265778.00	4000.00	elbow	n/a	265778.00	2.00
273845.00	4000.00	elbow	n/a	273845.00	2.00
281895.00	4000.00	hand	n/a	281895.00	1.00
289944.00	4000.00	elbow	n/a	289944.00	2.00
298011.00	4000.00	elbow	n/a	298011.00	2.00
306061.00	4000.00	hand	n/a	306061.00	1.00
314111.00	4000.00	elbow	n/a	314111.00	2.00
322177.00	4000.00	elbow	n/a	322177.00	2.00
